Day Fraction	Calib 950	Calib 470	Err 950	Err 470	Time	
0.471048355	-8.17442e-005	5.99287e-006	1	0	11:18:19.921	
0.471060395	-0.000120468	-3.00075e-006	1	1	11:18:21.015	
0.471073031	9.89686e-005	2.02505e-006	0	0	11:18:22.109	
0.471085697	-0.000262456	3.74705e-005	1	0	11:18:23.203	
0.471097708	-9.4652e-005	-4.32076e-005	1	1	11:18:24.187	
0.471109748	9.89686e-005	-3.97688e-005	0	1	11:18:25.281	
0.471122414	-0.000404445	-1.41367e-006	1	1	11:18:26.375	
0.47113508	0.000202233	-2.46912e-005	0	1	11:18:27.468	
0.471147209	-0.000352813	1.76061e-006	1	0	11:18:28.453	
0.47115913	-0.000185008	8.9026e-006	1	0	11:18:29.546	
0.471171796	0.000382946	1.65736e-005	0	0	11:18:30.640	
0.471184433	-0.000391537	-5.56399e-005	1	1	11:18:31.734	
0.471196592	6.02445e-005	-5.61689e-005	0	1	11:18:32.718	
0.471208483	8.61248e-006	-3.26268e-005	0	1	11:18:33.812	
0.471221149	-0.000468985	7.3154e-006	1	0	11:18:34.906	
0.471233815	0.000228049	-2.62783e-005	0	1	11:18:36.000	
0.471245974	-0.000494801	2.34511e-005	1	0	11:18:36.984	
0.471257865	-0.000185008	-2.86591e-005	1	1	11:18:38.078	
0.471270531	3.44287e-005	-2.91881e-005	0	1	11:18:39.171	
0.471283197	-0.000365721	1.76061e-006	1	0	11:18:40.265	
0.471295476	-4.302e-005	-1.04073e-005	1	1	11:18:41.250	
0.471307248	-0.0001721	4.93478e-006	1	0	11:18:42.343	
0.471319884	8.61248e-006	7.31552e-006	0	0	11:18:43.437	
0.47133255	-3.01117e-005	-3.02462e-005	1	1	11:18:44.531	
0.471344829	-6.88358e-005	1.02251e-005	1	0	11:18:45.515	
0.471356601	0.000111877	2.47736e-005	0	0	11:18:46.609	
0.471369267	-0.000210824	-1.6781e-006	1	1	11:18:47.703	
0.471381932	-0.000249549	4.67034e-006	1	0	11:18:48.796	
0.471394211	0.000460394	4.67022e-006	0	0	11:18:49.781	
0.471405983	-0.000365721	-8.2911e-006	1	1	11:18:50.875	
0.471418619	0.00029259	-6.20125e-007	0	1	11:18:51.968	
0.471431285	-0.000159192	2.31866e-005	1	0	11:18:53.062	
0.471443564	-0.000481894	-8.55565e-006	1	1	11:18:54.046	
0.471455336	0.00035713	-3.87108e-005	0	1	11:18:55.140	
0.471468002	-0.000404445	1.20768e-005	1	0	11:18:56.234	
0.471480668	-8.17442e-005	1.55155e-005	1	0	11:18:57.328	
0.471493065	-1.72038e-005	3.61225e-006	1	0	11:18:58.312	
0.471504718	-0.000301181	-1.64912e-005	1	1	11:18:59.406	
0.471517384	0.000163509	-5.91047e-006	0	1	11:19:00.500	
0.47153002	-0.000236641	-2.41621e-005	1	1	11:19:01.593	
0.471542448	-6.88358e-005	1.47219e-005	1	0	11:19:02.578	
0.471554101	-0.00010756	-9.61374e-006	1	1	11:19:03.671	
0.471566737	-0.000249549	-3.87108e-005	1	1	11:19:04.765	
0.471579403	0.000240957	-1.41367e-006	0	1	11:19:05.859	
0.4715918	-0.000365721	-3.05106e-005	1	1	11:19:06.843	
0.471603453	6.02445e-005	-3.50074e-005	0	1	11:19:07.937	
0.471616119	0.000253866	-4.05884e-006	0	1	11:19:09.031	
0.471628785	-0.000391537	-1.33169e-005	1	1	11:19:10.125	
0.471641302	0.000215141	-1.86074e-005	0	1	11:19:11.109	
0.471652836	-0.000365721	-2.70719e-005	1	1	11:19:12.203	
0.471665502	-0.000301181	5.46388e-006	1	0	11:19:13.296	
