# t (s), T_Al (K), flux_Al (nm^-2.s^-1), z (nm), x
9.453084926229861651e+01,1.313375622734525450e+03,5.512137504504953656e-01,2.023905721719594908e+01,1.000000000000000000e+00
9.503101248590866135e+01,1.313230762850932024e+03,5.494554967052107664e-01,2.034155512597965654e+01,1.000000000000000000e+00
9.553117570951870619e+01,1.313085884421911260e+03,5.477022378976568184e-01,2.044401325587922358e+01,1.000000000000000000e+00
9.603133893312875102e+01,1.312940986953784204e+03,5.459539557853355651e-01,2.054643171985463823e+01,1.000000000000000000e+00
9.653150215673881007e+01,1.312796070549855358e+03,5.442106393923646923e-01,2.064881063053491062e+01,1.000000000000000000e+00
9.703166538034885491e+01,1.312651134482858424e+03,5.424722678057035674e-01,2.075115010018779316e+01,1.000000000000000000e+00
9.753182860395889975e+01,1.312506179088956060e+03,5.407388329386034753e-01,2.085345024075253662e+01,1.000000000000000000e+00
9.803199182756894459e+01,1.312361203418971854e+03,5.390103113787583222e-01,2.095571116381156429e+01,1.000000000000000000e+00
9.853215505117898942e+01,1.312216208029323298e+03,5.372866977436701053e-01,2.105793298062110352e+01,1.000000000000000000e+00
9.903231827478903426e+01,1.312071191762506260e+03,5.355679663129517820e-01,2.116011580208505194e+01,1.000000000000000000e+00
9.953248149839907910e+01,1.311926155380699811e+03,5.338541142040272858e-01,2.126225973878328190e+01,1.000000000000000000e+00
1.000326447220091239e+02,1.311781097533531010e+03,5.321451135986823289e-01,2.136436490094788354e+01,1.000000000000000000e+00
1.005328079456191688e+02,1.311636019172588931e+03,5.304409638913600844e-01,2.146643139848896453e+01,1.000000000000000000e+00
1.010329711692292136e+02,1.311490918771930410e+03,5.287416353944177638e-01,2.156845934097346174e+01,1.000000000000000000e+00
1.015331343928392585e+02,1.311345797454383501e+03,5.270471295387877397e-01,2.167044883764821606e+01,1.000000000000000000e+00
1.020332976164493033e+02,1.311200653537539893e+03,5.253574150130603249e-01,2.177239999742158361e+01,1.000000000000000000e+00
1.025334608400593481e+02,1.311055488295505029e+03,5.236724950273059509e-01,2.187431292888357959e+01,1.000000000000000000e+00
1.030336240636693930e+02,1.310910299910283356e+03,5.219923369084367160e-01,2.197618774029045952e+01,1.000000000000000000e+00
1.035337872872794378e+02,1.310765089785545342e+03,5.203169453723948124e-01,2.207802453958177580e+01,1.000000000000000000e+00
1.040339505108894826e+02,1.310619855990320275e+03,5.186462866620278334e-01,2.217982343436809956e+01,1.000000000000000000e+00
1.045341137344995275e+02,1.310474600034413243e+03,5.169803667108041623e-01,2.228158453194481226e+01,1.000000000000000000e+00
1.050342769581095723e+02,1.310329319898195536e+03,5.153191509698639150e-01,2.238330793928313511e+01,1.000000000000000000e+00
1.055344401817196314e+02,1.310184017172492076e+03,5.136626462875667487e-01,2.248499376304049591e+01,1.000000000000000000e+00
1.060346034053296762e+02,1.310038689774996783e+03,5.120108176295871116e-01,2.258664210955502227e+01,1.000000000000000000e+00
1.065347666289397210e+02,1.309893339350796168e+03,5.103636724431341865e-01,2.268825308485233805e+01,1.000000000000000000e+00
1.070349298525497659e+02,1.309747963782516308e+03,5.087211755277154523e-01,2.278982679464367322e+01,1.000000000000000000e+00
1.075350930761598107e+02,1.309602564741136575e+03,5.070833346007058706e-01,2.289136334432892284e+01,1.000000000000000000e+00
1.080352562997698556e+02,1.309457140103419079e+03,5.054501146270556911e-01,2.299286283899852634e+01,1.000000000000000000e+00
1.085354195233799004e+02,1.309311691536294802e+03,5.038215232537773813e-01,2.309432538343266472e+01,1.000000000000000000e+00
1.090355827469899452e+02,1.309166216941417588e+03,5.021975259543142167e-01,2.319575108210702652e+01,1.000000000000000000e+00
1.095357459705999901e+02,1.309020717950197422e+03,5.005781299537800377e-01,2.329714003918802234e+01,1.000000000000000000e+00
1.100359091942100349e+02,1.308875192521451481e+03,4.989633015878603417e-01,2.339849235854255838e+01,1.000000000000000000e+00
1.105360724178200797e+02,1.308729642218100707e+03,4.973530472979499351e-01,2.349980814372915816e+01,1.000000000000000000e+00
1.110362356414301246e+02,1.308584065089874684e+03,4.957473346456633401e-01,2.360108749801184658e+01,1.000000000000000000e+00
1.115363988650401694e+02,1.308438462596780255e+03,4.941461689173472505e-01,2.370233052434706522e+01,1.000000000000000000e+00
1.120365620886502143e+02,1.308292832914646169e+03,4.925495192733816419e-01,2.380353732540178413e+01,1.000000000000000000e+00
1.125367253122602591e+02,1.308147177364725849e+03,4.909573894650143822e-01,2.390470800353611480e+01,1.000000000000000000e+00
1.130368885358703039e+02,1.308001494285530725e+03,4.893697506326415980e-01,2.400584266082573492e+01,1.000000000000000000e+00
1.135370517594803488e+02,1.307855784822345186e+03,4.877866046043405346e-01,2.410694139904010669e+01,1.000000000000000000e+00
1.140372149830903936e+02,1.307710047514302005e+03,4.862079248894356498e-01,2.420800431966931399e+01,1.000000000000000000e+00
1.145373782067004527e+02,1.307564283292169648e+03,4.846337109975247248e-01,2.430903152389779720e+01,1.000000000000000000e+00
